symbol,name,sector,weight
A,Agilent Technologies Inc.,Health Care,0.125978
AAL,American Airlines Group Inc.,Industrials,0.037664
AAP,Advance Auto Parts Inc.,Consumer Discretionary,0.037399
AAPL,Apple Inc.,Information Technology,6.010892
ABBV,AbbVie Inc.,Health Care,0.525005
ABC,AmerisourceBergen Corporation,Health Care,0.047778
ABMD,ABIOMED Inc.,Health Care,0.041127
ABT,Abbott Laboratories,Health Care,0.557323
ACN,Accenture Plc Class A,Information Technology,0.559333
ADBE,Adobe Inc.,Information Technology,0.732408
ADI,Analog Devices Inc.,Information Technology,0.241315
ADM,Archer-Daniels-Midland Company,Consumer Staples,0.094512
ADP,Automatic Data Processing Inc.,Information Technology,0.233879
ADSK,Autodesk Inc.,Information Technology,0.164726
AEE,Ameren Corporation,Utilities,0.057043
AEP,American Electric Power Company Inc.,Utilities,0.112712
AES,AES Corporation,Utilities,0.042265
AFL,Aflac Incorporated,Financials,0.089435
AIG,American International Group Inc.,Financials,0.133288
AIZ,Assurant Inc.,Financials,0.025515
AJG,Arthur J. Gallagher & Co.,Financials,0.085093
AKAM,Akamai Technologies Inc.,Information Technology,0.045576
ALB,Albemarle Corporation,Materials,0.070549
ALGN,Align Technology Inc.,Health Care,0.127548
ALK,Alaska Air Group Inc.,Industrials,0.020903
ALL,Allstate Corporation,Financials,0.102769
ALLE,Allegion PLC,Industrials,0.031554
AMAT,Applied Materials Inc.,Information Technology,0.317551
AMCR,Amcor PLC,Materials,0.04935
AMD,Advanced Micro Devices Inc.,Information Technology,0.335023
AME,AMETEK Inc.,Industrials,0.078652
AMGN,Amgen Inc.,Health Care,0.326382
AMP,Ameriprise Financial Inc.,Financials,0.084518
AMT,American Tower Corporation,Real Estate,0.326658
AMZN,Amazon.com Inc.,Consumer Discretionary,3.805427
ANET,Arista Networks Inc.,Information Technology,0.052828
ANSS,ANSYS Inc.,Information Technology,0.080654
ANTM,Anthem Inc.,Health Care,0.247084
AON,Aon Plc Class A,Financials,0.17894
AOS,A. O. Smith Corporation,Industrials,0.023004
APA,APA Corp.,Energy,0.022934
APD,Air Products and Chemicals Inc.,Materials,0.154351
APH,Amphenol Corporation Class A,Information Technology,0.121047
APTV,Aptiv PLC,Consumer Discretionary,0.116021
ARE,Alexandria Real Estate Equities Inc.,Real Estate,0.07211
ATO,Atmos Energy Corporation,Utilities,0.032176
ATVI,Activision Blizzard Inc.,Communication Services,0.162034
AVB,AvalonBay Communities Inc.,Real Estate,0.085017
AVGO,Broadcom Inc.,Information Technology,0.540269
AVY,Avery Dennison Corporation,Materials,0.047432
AWK,American Water Works Company Inc.,Utilities,0.084485
AXP,American Express Company,Financials,0.30508
AZO,AutoZone Inc.,Consumer Discretionary,0.09649
BA,Boeing Company,Industrials,0.335445
BAC,Bank of America Corp,Financials,0.888352
BAX,Baxter International Inc.,Health Care,0.10966
BBWI,Bath & Body Works Inc.,Consumer Discretionary,0.045745
BBY,Best Buy Co. Inc.,Consumer Discretionary,0.064852
BDX,Becton Dickinson and Company,Health Care,0.189368
BEN,Franklin Resources Inc.,Financials,0.022505
BF.B,Brown-Forman Corporation Class B,Consumer Staples,0.033362
BIIB,Biogen Inc.,Health Care,0.113369
BIO,Bio-Rad Laboratories Inc. Class A,Health Care,0.042178
BK,Bank of New York Mellon Corporation,Financials,0.117242
BKNG,Booking Holdings Inc.,Consumer Discretionary,0.270989
BKR,Baker Hughes Company Class A,Energy,0.056955
BLK,BlackRock Inc.,Financials,0.325039
BLL,Ball Corporation,Materials,0.081065
BMY,Bristol-Myers Squibb Company,Health Care,0.356576
BR,Broadridge Financial Solutions Inc.,Information Technology,0.052037
BRK.B,Berkshire Hathaway Inc. Class B,Financials,1.398271
BRO,Brown & Brown Inc.,Financials,0.036861
BSX,Boston Scientific Corporation,Health Care,0.163936
BWA,BorgWarner Inc.,Consumer Discretionary,0.029607
BXP,Boston Properties Inc.,Real Estate,0.043079
C,Citigroup Inc.,Financials,0.398805
CAG,Conagra Brands Inc.,Consumer Staples,0.044651
CAH,Cardinal Health Inc.,Health Care,0.038707
CARR,Carrier Global Corp.,Industrials,0.124337
CAT,Caterpillar Inc.,Industrials,0.285913
CB,Chubb Limited,Financials,0.208468
CBOE,Cboe Global Markets Inc,Financials,0.03495
CBRE,CBRE Group Inc. Class A,Real Estate,0.090974
CCI,Crown Castle International Corp,Real Estate,0.202198
CCL,Carnival Corporation,Consumer Discretionary,0.055062
CDAY,Ceridian HCM Holding Inc.,Information Technology,0.041463
CDNS,Cadence Design Systems Inc.,Information Technology,0.112784
CDW,CDW Corp.,Information Technology,0.06892
CE,Celanese Corporation,Materials,0.04817
CERN,Cerner Corporation,Health Care,0.056284
CF,CF Industries Holdings Inc.,Materials,0.03534
CFG,Citizens Financial Group Inc.,Financials,0.056923
CHD,Church & Dwight Co. Inc.,Consumer Staples,0.054386
CHRW,C.H. Robinson Worldwide Inc.,Industrials,0.031217
CHTR,Charter Communications Inc. Class A,Communication Services,0.257337
CI,Cigna Corporation,Health Care,0.185823
CINF,Cincinnati Financial Corporation,Financials,0.046965
CL,Colgate-Palmolive Company,Consumer Staples,0.170302
CLX,Clorox Company,Consumer Staples,0.054181
CMA,Comerica Incorporated,Financials,0.030549
CMCSA,Comcast Corporation Class A,Communication Services,0.705667
CME,CME Group Inc. Class A,Financials,0.193222
CMG,Chipotle Mexican Grill Inc.,Consumer Discretionary,0.139539
CMI,Cummins Inc.,Industrials,0.091414
CMS,CMS Energy Corporation,Utilities,0.047592
CNC,Centene Corporation,Health Care,0.099192
CNP,CenterPoint Energy Inc.,Utilities,0.040429
COF,Capital One Financial Corporation,Financials,0.204195
COO,Cooper Companies Inc.,Health Care,0.05575
COP,ConocoPhillips,Energy,0.260581
COST,Costco Wholesale Corporation,Consumer Staples,0.535152
CPB,Campbell Soup Company,Consumer Staples,0.023603
CPRT,Copart Inc.,Industrials,0.078738
CRL,Charles River Laboratories International Inc.,Health Care,0.054673
CRM,salesforce.com inc.,Information Technology,0.716303
CSCO,Cisco Systems Inc.,Information Technology,0.625255
CSX,CSX Corporation,Industrials,0.192232
CTAS,Cintas Corporation,Industrials,0.093025
CTLT,Catalent Inc,Health Care,0.060163
CTRA,Coterra Energy Inc.,Energy,0.049909
CTSH,Cognizant Technology Solutions Corporation Class A,Information Technology,0.106128
CTVA,Corteva Inc,Materials,0.086563
CTXS,Citrix Systems Inc.,Information Technology,0.035799
CVS,CVS Health Corporation,Health Care,0.29942
CVX,Chevron Corporation,Energy,0.55539
CZR,Caesars Entertainment Inc,Consumer Discretionary,0.065318
D,Dominion Energy Inc,Utilities,0.15963
DAL,Delta Air Lines Inc.,Industrials,0.07766
DD,DuPont de Nemours Inc.,Materials,0.100708
DE,Deere & Company,Industrials,0.26051
DFS,Discover Financial Services,Financials,0.103555
DG,Dollar General Corporation,Consumer Discretionary,0.131752
DGX,Quest Diagnostics Incorporated,Health Care,0.047003
DHI,D.R. Horton Inc.,Consumer Discretionary,0.07336
DHR,Danaher Corporation,Health Care,0.51628
DIS,Walt Disney Company,Communication Services,0.860774
DISCA,Discovery Inc. Class A,Communication Services,0.01157
DISCK,Discovery Inc. Class C,Communication Services,0.020042
DISH,DISH Network Corporation Class A,Communication Services,0.030544
DLR,Digital Realty Trust Inc.,Real Estate,0.109557
DLTR,Dollar Tree Inc.,Consumer Discretionary,0.061146
DOV,Dover Corporation,Industrials,0.061749
DOW,Dow Inc.,Materials,0.119572
DPZ,Domino's Pizza Inc.,Consumer Discretionary,0.047645
DRE,Duke Realty Corporation,Real Estate,0.050767
DRI,Darden Restaurants Inc.,Consumer Discretionary,0.055423
DTE,DTE Energy Company,Utilities,0.05981
DUK,Duke Energy Corporation,Utilities,0.209068
DVA,DaVita Inc.,Health Care,0.02101
DVN,Devon Energy Corporation,Energy,0.068459
DXC,DXC Technology Co.,Information Technology,0.023987
DXCM,DexCom Inc.,Health Care,0.14208
EA,Electronic Arts Inc.,Communication Services,0.111229
EBAY,eBay Inc.,Consumer Discretionary,0.120985
ECL,Ecolab Inc.,Materials,0.144759
ED,Consolidated Edison Inc.,Utilities,0.068342
EFX,Equifax Inc.,Industrials,0.085433
EIX,Edison International,Utilities,0.057349
EL,Estee Lauder Companies Inc. Class A,Consumer Staples,0.197028
EMN,Eastman Chemical Company,Materials,0.038843
EMR,Emerson Electric Co.,Industrials,0.154848
ENPH,Enphase Energy Inc.,Information Technology,0.053836
EOG,EOG Resources Inc.,Energy,0.137961
EQIX,Equinix Inc.,Real Estate,0.185054
EQR,Equity Residential,Real Estate,0.076896
ES,Eversource Energy,Utilities,0.078953
ESS,Essex Property Trust Inc.,Real Estate,0.057424
ETN,Eaton Corp. Plc,Industrials,0.163569
ETR,Entergy Corporation,Utilities,0.055601
ETSY,Etsy Inc.,Consumer Discretionary,0.067003
EVRG,Evergy Inc.,Utilities,0.039024
EW,Edwards Lifesciences Corporation,Health Care,0.184033
EXC,Exelon Corporation,Utilities,0.128235
EXPD,Expeditors International of Washington Inc.,Industrials,0.053318
EXPE,Expedia Group Inc.,Consumer Discretionary,0.065396
EXR,Extra Space Storage Inc.,Real Estate,0.060939
F,Ford Motor Company,Consumer Discretionary,0.152119
FANG,Diamondback Energy Inc.,Energy,0.04809
FAST,Fastenal Company,Industrials,0.080613
FB,Facebook Inc. Class A,Communication Services,2.153256
FBHS,Fortune Brands Home & Security Inc.,Industrials,0.03449
FCX,Freeport-McMoRan Inc.,Materials,0.128286
FDX,FedEx Corporation,Industrials,0.149779
FE,FirstEnergy Corp.,Utilities,0.053774
FFIV,F5 Networks Inc.,Information Technology,0.032492
FIS,Fidelity National Information Services Inc.,Information Technology,0.201656
FISV,Fiserv Inc.,Information Technology,0.174653
FITB,Fifth Third Bancorp,Financials,0.082688
