symbol;name;sector;industry;weight;
UNH;UnitedHealth Group Incorporated;Health Care;Managed Health Care;1.006401;
V;Visa Inc. Class A;Information Technology;Data Processing & Outsourced Services;1.026847;
JNJ;Johnson & Johnson;Health Care;Pharmaceuticals;1.139662;
JPM;JPMorgan Chase & Co.;Financials;Diversified Banks;1.367247;
NVDA;NVIDIA Corporation;Information Technology;Semiconductors;1.382604;
BRK.B;Berkshire Hathaway Inc. Class B;Financials;Multi-Sector Holdings;1.398271;
TSLA;Tesla Inc;Consumer Discretionary;Automobile Manufacturers;1.718355;
GOOG;Alphabet Inc. Class C;Communication Services;Interactive Media & Services;2.081447;
FB;Facebook Inc. Class A;Communication Services;Interactive Media & Services;2.153256;
GOOGL;Alphabet Inc. Class A;Communication Services;Interactive Media & Services;2.222052;
AMZN;Amazon.com Inc.;Consumer Discretionary;Internet & Direct Marketing Retail;3.805427;
MSFT;Microsoft Corporation;Information Technology;Systems Software;5.886271;
AAPL;Apple Inc.;Information Technology;Technology Hardware, Storage & Peripherals;6.010892;
NWS;News Corporation Class B;Communication Services;Publishing;0.007911;
UA;Under Armour Inc. Class C;Consumer Discretionary;Apparel, Accessories & Luxury Goods;0.009789;
UAA;Under Armour Inc. Class A;Consumer Discretionary;Apparel, Accessories & Luxury Goods;0.010874;
DISCA;Discovery Inc. Class A;Communication Services;Broadcasting;0.01157;
GPS;Gap Inc.;Consumer Discretionary;Apparel Retail;0.013342;
IPGP;IPG Photonics Corporation;Information Technology;Electronic Manufacturing Services;0.015112;
FOX;Fox Corporation Class B;Communication Services;Movies & Entertainment;0.015543;
RL;Ralph Lauren Corporation Class A;Consumer Discretionary;Apparel, Accessories & Luxury Goods;0.015728;
HBI;Hanesbrands Inc.;Consumer Discretionary;Apparel, Accessories & Luxury Goods;0.016136;
LEG;Leggett & Platt Incorporated;Consumer Discretionary;Home Furnishings;0.016517;
VNO;Vornado Realty Trust;Real Estate;Office REITs;0.018493;
NLSN;Nielsen Holdings Plc;Industrials;Research & Consulting Services;0.018989;
DISCK;Discovery Inc. Class C;Communication Services;Broadcasting;0.020042;
PBCT;People's United Financial Inc.;Financials;Thrifts & Mortgage Finance;0.020864;
ALK;Alaska Air Group Inc.;Industrials;Airlines;0.020903;
DVA;DaVita Inc.;Health Care;Health Care Facilities;0.02101;
PVH;PVH Corp.;Consumer Discretionary;Apparel, Accessories & Luxury Goods;0.021064;
HII;Huntington Ingalls Industries Inc.;Industrials;Aerospace & Defense;0.021459;
ROL;Rollins Inc.;Industrials;Environmental & Facilities Services;0.02172;
