symbol,name,weight
HUYA,HUYA INC,0.0003
PYPL,PAYPAL HLDGS INC,0.0012
SQ,SQUARE INC,0.002
DSPG,DSP GROUPS INC,0.006
BILI,BILIBILI INC,0.0064
BSY,BENTLEY SYS INC,0.0066
ERIC,ERICSSON,0.0068
DIS,DISNEY WALT CO,0.0071
ANET,ARISTA NETWORKS INC,0.0076
VUZI,VUZIX CORP,0.0076
AMT,AMERICAN TOWER CORP,0.008
ATVI,ACTIVISION BLIZZARD INC,0.0086
PTC,PTC INC,0.0086
EA,ELECTRONIC ARTS INC,0.0094
MU,MICRON TECHNOLOGY INC,0.0094
EQIX,EQUINIX INC,0.0103
LUMN,LUMEN TECHNOLOGIES INC,0.0125
SNOW,SNOWFLAKE INC,0.0125
TXN,TEXAS INSTRS INC,0.0128
AVGO,BROADCOM INC,0.0134
AMD,ADVANCED MICRO DEVICES INC,0.0143
STM,STMICROELECTRONICS,0.0146
SWKS,SKYWORKS SOLUTIONS INC,0.0159
ADBE,ADOBE SYSTEMS INCORPORATED,0.016
TTWO,TAKE-TWO INTERACTIVE SOFTWARE COM,0.0164
COIN,COINBASE GLOBAL INC,0.018
INTC,INTEL CORP,0.0191
BABA,ALIBABA GROUP HLDG LTD,0.0194
NET,CLOUDFLARE INC,0.0194
SNAP,SNAP INC,0.0196
SONY,SONY GROUP CORPORA,0.0208
IMMR,IMMERSION CORP,0.0217
AKAM,AKAMAI TECHNOLOGIES INC,0.024
FB,FACEBOOK INC,0.0247
AAPL,APPLE INC,0.0273
UMC,UNITED MICROELECTRONICS CORP SPON ADR NEW,0.0278
GOOG,ALPHABET INC,0.0284
FSLY,FASTLY INC,0.0286
SE,SEA LTD,0.0302
QCOM,QUALCOMM INC,0.0338
AMZN,AMAZON COM INC,0.0343
ADSK,AUTODESK INC,0.0372
TSM,TAIWAN SEMICONDUCTOR MFG LTD SPONSORED ADS,0.0379
U,UNITY SOFTWARE INC,0.0406
RBLX,ROBLOX CORP,0.0477
MSFT,MICROSOFT CORP,0.0486
NVDA,NVIDIA CORPORATION,0.0906
